epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,389.571,1.51108,3.3375,1.65712,1.56848,0.53242,0.49198,0.49283,0.22788,0.04128,0.03476,0.0069,0.0022,1.65749,2.66264,1.89135,1.86103,0.000610789,0.000610789,0.000610789
66,394.803,1.34982,2.97868,1.53313,1.50941,0.53242,0.49198,0.49283,0.22788,0.04128,0.03476,0.0069,0.0022,1.65749,2.66264,1.89135,1.86103,0.000594286,0.000594286,0.000594286
67,400.513,1.45878,3.14915,1.73159,1.57983,0.58584,0.51815,0.53765,0.26256,0.04486,0.02941,0.00493,0.00104,1.59831,2.70274,1.87938,1.83668,0.000577782,0.000577782,0.000577782
68,407.267,1.42571,3.26685,1.66925,1.59441,0.6078,0.51604,0.54494,0.27609,0.02119,0.01337,0.00256,0.00064,1.57185,2.76231,1.90313,1.83563,0.000561279,0.000561279,0.000561279
69,414.491,1.35685,2.91566,1.53237,1.50552,0.6078,0.51604,0.54494,0.27609,0.02119,0.01337,0.00256,0.00064,1.57185,2.76231,1.90313,1.83563,0.000544776,0.000544776,0.000544776
70,423.074,1.39487,3.154,1.56975,1.56041,0.60117,0.55619,0.54904,0.27412,0.01436,0.03476,0.00264,0.00064,1.58221,2.7321,1.87375,1.84565,0.000528272,0.000528272,0.000528272
71,432.046,1.40735,3.01271,1.66666,1.54541,0.57922,0.57487,0.5666,0.27601,0.02926,0.01604,0.00282,0.00065,1.55274,2.68046,1.83403,1.81662,0.000511769,0.000511769,0.000511769
72,438.108,1.37692,3.12016,1.52274,1.53039,0.57922,0.57487,0.5666,0.27601,0.02926,0.01604,0.00282,0.00065,1.55274,2.68046,1.83403,1.81662,0.000495266,0.000495266,0.000495266
73,444.501,1.43051,2.98581,1.55271,1.53114,0.57409,0.56585,0.56539,0.27732,0.01416,0.03209,0.00306,0.00055,1.54585,2.67274,1.81151,1.78884,0.000478762,0.000478762,0.000478762
74,450.986,1.36626,3.0312,1.50357,1.45057,0.57409,0.56585,0.56539,0.27732,0.01416,0.03209,0.00306,0.00055,1.54585,2.67274,1.81151,1.78884,0.000462259,0.000462259,0.000462259
