epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,552.762,1.31153,2.58744,1.26903,1.46837,0.63502,0.70638,0.69,0.38459,0.34226,0.31063,0.19517,0.04271,1.42656,2.08942,1.48291,1.71479,0.0007328,0.0007328,0.0007328
66,562.602,1.27991,2.56507,1.23534,1.41841,0.66253,0.70163,0.7065,0.38811,0.31502,0.28883,0.16665,0.03656,1.4313,2.11787,1.42966,1.73464,0.000713,0.000713,0.000713
67,570.867,1.27209,2.49771,1.22488,1.45611,0.64233,0.70708,0.71032,0.40766,0.2808,0.25613,0.14183,0.03163,1.38045,2.18398,1.37182,1.69492,0.0006932,0.0006932,0.0006932
68,580.099,1.25847,2.53327,1.24025,1.39957,0.67425,0.6594,0.71056,0.4164,0.26687,0.24796,0.13454,0.02935,1.3456,2.23592,1.37949,1.66001,0.0006734,0.0006734,0.0006734
69,589.28,1.22198,2.53332,1.1813,1.39701,0.68627,0.64372,0.70858,0.41303,0.28052,0.27248,0.14792,0.03345,1.34743,2.23792,1.37308,1.65589,0.0006536,0.0006536,0.0006536
70,597.219,1.22913,2.55474,1.24882,1.3988,0.67154,0.64441,0.70118,0.40956,0.29597,0.29292,0.16777,0.0372,1.38093,2.24784,1.35206,1.67012,0.0006338,0.0006338,0.0006338
71,605.829,1.23385,2.61217,1.18235,1.37774,0.65214,0.6283,0.66912,0.38218,0.31114,0.29564,0.17426,0.03962,1.44851,2.24556,1.37058,1.7111,0.000614,0.000614,0.000614
72,614.183,1.22191,2.41878,1.18198,1.35617,0.61741,0.64857,0.641,0.35957,0.2887,0.26839,0.15622,0.03648,1.48197,2.22564,1.40351,1.74288,0.0005942,0.0005942,0.0005942
73,621.366,1.19406,2.34414,1.19411,1.3825,0.62377,0.66408,0.64666,0.35928,0.26997,0.31335,0.15141,0.0339,1.48502,2.18137,1.38037,1.75018,0.0005744,0.0005744,0.0005744
74,629.888,1.24893,2.36788,1.18314,1.36621,0.64661,0.70845,0.68114,0.38148,0.31344,0.30926,0.16092,0.03645,1.44384,2.13333,1.34291,1.71594,0.0005546,0.0005546,0.0005546
75,638.898,1.18529,2.45632,1.17852,1.32983,0.66659,0.71117,0.7096,0.40855,0.36511,0.32289,0.20258,0.04572,1.37341,2.11453,1.30688,1.65705,0.0005348,0.0005348,0.0005348
76,648.726,1.19403,2.52367,1.14111,1.35516,0.70441,0.70778,0.71509,0.41096,0.37965,0.35422,0.22222,0.05076,1.35455,2.15474,1.30123,1.63843,0.000515,0.000515,0.000515
77,657.488,1.18864,2.68598,1.18541,1.37455,0.68534,0.69074,0.70684,0.40552,0.35796,0.35422,0.2171,0.04997,1.35873,2.18854,1.32244,1.64549,0.0004952,0.0004952,0.0004952
78,666.476,1.18473,2.48565,1.13992,1.32931,0.69126,0.65668,0.68694,0.39109,0.38824,0.3515,0.22305,0.05057,1.37654,2.15927,1.34627,1.65899,0.0004754,0.0004754,0.0004754
79,675.553,1.16805,2.51117,1.16619,1.34429,0.66276,0.65804,0.6779,0.38426,0.36396,0.32289,0.20621,0.04583,1.38882,2.13847,1.3579,1.66324,0.0004556,0.0004556,0.0004556
80,683.695,1.19572,2.5014,1.21165,1.40705,0.66881,0.6485,0.67727,0.3882,0.33368,0.28883,0.17305,0.03431,1.38276,2.16397,1.3665,1.66168,0.0004358,0.0004358,0.0004358
81,691.823,1.17888,2.42981,1.14551,1.34477,0.67872,0.66076,0.67806,0.39563,0.24023,0.25341,0.1015,0.01913,1.39221,2.23331,1.35794,1.66727,0.000416,0.000416,0.000416
82,700.779,1.15913,2.61596,1.18206,1.33254,0.69316,0.64441,0.68186,0.39331,0.18548,0.20708,0.06786,0.01245,1.3983,2.27521,1.35003,1.6739,0.0003962,0.0003962,0.0003962
83,709.471,1.17506,2.52063,1.1518,1.35435,0.67131,0.67617,0.6832,0.39087,0.19652,0.22071,0.08063,0.01413,1.40564,2.23366,1.3476,1.68488,0.0003764,0.0003764,0.0003764
84,718.309,1.13822,2.36477,1.12362,1.34194,0.66704,0.67166,0.68846,0.39033,0.23095,0.23297,0.11039,0.02142,1.41499,2.13971,1.34096,1.68959,0.0003566,0.0003566,0.0003566
85,727.496,1.14931,2.33042,1.12855,1.32868,0.67457,0.67984,0.69391,0.39446,0.26306,0.27384,0.13854,0.0274,1.4125,2.07489,1.33646,1.68634,0.0003368,0.0003368,0.0003368
86,735.756,1.1269,2.30599,1.0775,1.32304,0.69015,0.69891,0.71481,0.40677,0.26348,0.29837,0.14807,0.02969,1.39228,2.04079,1.32012,1.66695,0.000317,0.000317,0.000317
87,744.585,1.16952,2.24851,1.10337,1.37393,0.69871,0.71405,0.72241,0.41833,0.29132,0.30926,0.16633,0.03476,1.38162,2.01501,1.31584,1.65274,0.0002972,0.0002972,0.0002972
88,753.589,1.08315,2.19529,1.06346,1.28193,0.70683,0.70572,0.72263,0.42406,0.31534,0.31608,0.18933,0.04139,1.37662,2.0016,1.31553,1.64983,0.0002774,0.0002774,0.0002774
89,762.963,1.19557,2.42405,1.12416,1.36086,0.70024,0.70572,0.72326,0.42446,0.33385,0.33867,0.21304,0.04868,1.35862,2.00009,1.31145,1.64129,0.0002576,0.0002576,0.0002576
90,772.403,1.1415,2.31199,1.05526,1.31829,0.70328,0.70719,0.72572,0.42583,0.36166,0.34469,0.2299,0.05128,1.34609,2.01515,1.30357,1.63606,0.0002378,0.0002378,0.0002378
91,781.358,1.02491,1.96373,1.24955,1.36228,0.71485,0.70708,0.72551,0.42716,0.37228,0.35286,0.22948,0.05009,1.33138,2.0343,1.30029,1.62837,0.000218,0.000218,0.000218
92,790.352,1.14161,2.10046,1.40398,1.48381,0.72561,0.70253,0.72688,0.42722,0.36962,0.34877,0.22353,0.04777,1.32889,2.05263,1.29229,1.62749,0.0001982,0.0001982,0.0001982
93,798.528,1.12816,2.21266,1.32135,1.50489,0.70216,0.70981,0.7251,0.42025,0.3605,0.36512,0.2205,0.04703,1.33239,2.0598,1.31357,1.63538,0.0001784,0.0001784,0.0001784
94,806.279,1.04093,1.98823,1.23453,1.43971,0.69442,0.71117,0.72095,0.41263,0.36407,0.33924,0.21823,0.04618,1.3477,2.05655,1.33622,1.65504,0.0001586,0.0001586,0.0001586
95,813.873,0.98238,1.85879,1.09754,1.3422,0.68601,0.70843,0.71704,0.40095,0.33665,0.34469,0.20691,0.04406,1.37273,2.05903,1.35828,1.67393,0.0001388,0.0001388,0.0001388
96,821.898,0.97485,1.78786,1.05358,1.39263,0.67311,0.69619,0.71202,0.39813,0.34316,0.32834,0.19113,0.04017,1.38618,2.06235,1.3705,1.6837,0.000119,0.000119,0.000119
97,829.596,0.95884,2.02603,1.09744,1.31306,0.69675,0.68256,0.71347,0.39733,0.33142,0.33243,0.18698,0.03991,1.38486,2.05785,1.36205,1.68179,9.92e-05,9.92e-05,9.92e-05
98,838.045,0.95391,1.97305,1.07862,1.32819,0.69754,0.69439,0.71847,0.40917,0.33411,0.3515,0.1896,0.04029,1.37348,2.05741,1.34574,1.67012,7.94e-05,7.94e-05,7.94e-05
99,846.465,0.9708,1.89693,1.06969,1.35636,0.69991,0.70224,0.72309,0.41648,0.33612,0.34605,0.19079,0.04125,1.3604,2.05699,1.32922,1.65343,5.96e-05,5.96e-05,5.96e-05
100,854.916,0.93869,1.83917,1.02678,1.29018,0.70044,0.71526,0.7272,0.42177,0.33673,0.34469,0.19176,0.04196,1.35163,2.05139,1.31645,1.64394,3.98e-05,3.98e-05,3.98e-05
